day,temperature,humidity,co2,uv
09/12/2022 16:58,28.84,60.1,473.9,2.2
09/12/2022 17:00,28.91,61.3,473.7,1.1
09/12/2022 17:02,28.08,78.8,479.8,1.7
09/12/2022 17:04,28.2,78.7,480.7,2.6
09/12/2022 17:15,28.29,81.2,480.1,4.6
28/02/2023,0.0,0.0,0.0,0.0,1
28/02/2023,0.0,0.0,0.0,0.0,1
09/03/2023,24.9,0.0,0.0,0.0,1
09/03/2023,24.9,0.0,0.0,0.0,1
09/03/2023,24.1,0.0,0.0,0.0,0
09/03/2023,23.2,0.0,0.0,0.0,0
09/03/2023,23.2,0.0,0.0,0.0,0
09/03/2023,22.5,0.0,0.0,0.0,0
09/03/2023,22.5,0.0,0.0,0.0,0
09/03/2023,22.1,0.0,0.0,0.0,0
09/03/2023,21.8,0.0,0.0,0.0,0
09/03/2023,21.8,0.0,0.0,0.0,0
09/03/2023,21.6,0.0,0.0,0.0,0
10/03/2023,21.4,0.0,0.0,0.0,0
10/03/2023,21.3,0.0,0.0,0.0,0
10/03/2023,21.3,0.0,0.0,0.0,0
10/03/2023,21.2,0.0,0.0,0.0,0
10/03/2023,21.2,0.0,0.0,0.0,0
10/03/2023,22.2,0.0,0.0,0.0,1
10/03/2023,23.1,0.0,0.0,0.0,1
10/03/2023,23.1,0.0,0.0,0.0,1
10/03/2023,23.6,0.0,0.0,0.0,1
10/03/2023,24.8,0.0,0.0,0.0,0
10/03/2023,24.2,0.0,0.0,0.0,0
10/03/2023,23.4,0.0,0.0,0.0,0
10/03/2023,22.9,0.0,0.0,0.0,0
10/03/2023,22.9,0.0,0.0,0.0,0
10/03/2023,22.7,0.0,0.0,0.0,0
10/03/2023,22.7,0.0,0.0,0.0,0
11/03/2023,21.4,0.0,0.0,0.0,1
11/03/2023,21.3,0.0,0.0,0.0,1
11/03/2023,21.2,0.0,0.0,0.0,1
11/03/2023,21.2,0.0,0.0,0.0,1
11/03/2023,21.4,0.0,0.0,0.0,1
11/03/2023,21.4,0.0,0.0,0.0,1
11/03/2023,21.4,0.0,0.0,0.0,1
11/03/2023,21.5,0.0,0.0,0.0,1
11/03/2023,21.5,0.0,0.0,0.0,1
11/03/2023,21.7,0.0,0.0,0.0,1
11/03/2023,21.9,0.0,0.0,0.0,1
11/03/2023,21.9,0.0,0.0,0.0,1
11/03/2023,22.4,0.0,0.0,0.0,1
11/03/2023,22.9,0.0,0.0,0.0,1
11/03/2023,22.9,0.0,0.0,0.0,1
12/03/2023,24.4,0.0,0.0,0.0,0
12/03/2023,23.9,0.0,0.0,0.0,0
13/03/2023,22.9,0.0,0.0,0.0,0
13/03/2023,22.7,0.0,0.0,0.0,0
13/03/2023,22.7,0.0,0.0,0.0,0
13/03/2023,22.6,0.0,0.0,0.0,0
13/03/2023,22.6,0.0,0.0,0.0,0
13/03/2023,22.5,0.0,0.0,0.0,0
13/03/2023,22.4,0.0,0.0,0.0,1
13/03/2023,22.3,0.0,0.0,0.0,1
13/03/2023,21.4,0.0,0.0,0.0,1
13/03/2023,20.4,0.0,0.0,0.0,1
13/03/2023,20.4,0.0,0.0,0.0,1
13/03/2023,22.2,0.0,0.0,0.0,1
13/03/2023,22.9,0.0,0.0,0.0,1
13/03/2023,22.9,0.0,0.0,0.0,1
14/03/2023,25.2,0.0,0.0,0.0,1
14/03/2023,26.3,0.0,0.0,0.0,1
22/03/2023,26.2,0.0,0.0,0.0,1
22/03/2023,26.2,0.0,0.0,0.0,1
22/03/2023,25.6,0.0,0.0,0.0,0
22/03/2023,25.6,0.0,0.0,0.0,0
22/03/2023,24.5,0.0,0.0,0.0,0
22/03/2023,24.5,0.0,0.0,0.0,0
23/03/2023,26.7,0.0,0.0,0.0,1
23/03/2023,26.6,0.0,0.0,0.0,0
23/03/2023,26.6,0.0,0.0,0.0,0
23/03/2023,25.7,0.0,0.0,0.0,0
23/03/2023,25.7,0.0,0.0,0.0,0
23/03/2023,24.8,0.0,0.0,0.0,0
27/03/2023,25.2,0.0,0.0,0.0,1
27/03/2023,26.0,0.0,0.0,0.0,1
28/03/2023,23.6,0.0,0.0,0.0,1
28/03/2023,23.7,0.0,0.0,0.0,1
28/03/2023,24.0,0.0,0.0,0.0,1
28/03/2023,24.0,0.0,0.0,0.0,1
28/03/2023,24.7,0.0,0.0,0.0,0
28/03/2023,24.7,0.0,0.0,0.0,0
28/03/2023,25.0,0.0,0.0,0.0,0
28/03/2023,25.0,0.0,0.0,0.0,0
28/03/2023,24.6,0.0,0.0,0.0,0
28/03/2023,24.6,0.0,0.0,0.0,0
28/03/2023,23.7,0.0,0.0,0.0,0
28/03/2023,23.7,0.0,0.0,0.0,0
29/03/2023,22.6,0.0,0.0,0.0,0
29/03/2023,22.1,0.0,0.0,0.0,0
29/03/2023,21.9,0.0,0.0,0.0,0
29/03/2023,21.9,0.0,0.0,0.0,0
29/03/2023,21.7,0.0,0.0,0.0,0
29/03/2023,21.7,0.0,0.0,0.0,0
29/03/2023,20.7,0.0,0.0,0.0,1
29/03/2023,nan,0.0,0.0,0.0,1
29/03/2023,nan,0.0,0.0,0.0,1
03/04/2023,19.5,0.0,0.0,0.0,1
03/04/2023,23.6,0.0,0.0,0.0,1
03/04/2023,23.8,0.0,0.0,0.0,1
03/04/2023,23.8,0.0,0.0,0.0,1
03/04/2023,27.2,0.0,0.0,0.0,1
04/04/2023,14.9,0.0,0.0,0.0,1
04/04/2023,14.9,0.0,0.0,0.0,1
04/04/2023,16.4,0.0,0.0,0.0,1
04/04/2023,16.4,0.0,0.0,0.0,1
04/04/2023,26.7,0.0,0.0,0.0,1
04/04/2023,32.9,0.0,0.0,0.0,1
04/04/2023,32.9,0.0,0.0,0.0,1
04/04/2023,23.1,0.0,0.0,0.0,1
06/04/2023,30.2,0.0,0.0,0.0,1
06/04/2023,30.2,0.0,0.0,0.0,1
06/04/2023,31.7,0.0,0.0,0.0,1
06/04/2023,31.7,0.0,0.0,0.0,0
06/04/2023,31.7,0.0,0.0,0.0,0
06/04/2023,28.0,0.0,0.0,0.0,0
06/04/2023,28.0,0.0,0.0,0.0,0
07/04/2023,35.3,0.0,0.0,0.0,1
13/04/2023,nan,0.0,0.0,0.0,0
13/04/2023,35.9,0.0,0.0,0.0,0
13/04/2023,35.8,0.0,0.0,0.0,0
13/04/2023,28.3,0.0,0.0,0.0,0
