day,temperature,humidity,co2,uv,DN
13/09/2022,30,65.0,468.1,112.0,1
13/09/2022,20,65.0,468.1,112.0,1
14/09/2022,29.0,66.1,461.0,230.2,1
14/09/2022,28.62,42.5,467.7,540.7,1
14/09/2022,28.65,40.7,469.0,110.4
14/09/2022,27.1,79.9,450.4,110.8,1
14/09/2022,26.89,86.8,437.5,69.4,1
14/09/2022,28.73,68.4,469.9,57.2,1
14/09/2022,28.85,59.6,460.7,41.2,1
14/09/2022,29.05,63.6,454.7,31.1,0
16/09/2022,29.12,47.9,461.3,1.6,1
16/09/2022,25.85,74.0,468.1,-1.1,1
16/09/2022,25.87,77.1,472.3,-0.2,0
21/09/2022,25.87,77.1,472.3,-0.2,0
22/09/2022,25.87,77.1,472.3,-0.2,0
22/09/2022,25.75,71.6,474.3,0.3,1
22/09/2022,25.56,70.3,474.8,-7.5,1
11/10/2022,26.54,70.2,464.8,3.7,1
11/10/2022,26.58,75.2,463.3,2.2,1
11/10/2022,26.32,72.5,471.0,8.8,1
11/10/2022,26.09,78.0,477.2,10.9,1
17/10/2022,28.0,61.0,469.8,2.3,1
18/11/2022,28.49,52.3,476.9,3.0,1
18/11/2022,27.73,52.1,476.0,1.0,1
05/12/2022,26.08,63.8,477.0,1.0,0
09/12/2022,29.27,77.6,465.9,-1.0,1
09/12/2022,25.84,46.4,480.1,1.5,1
09/12/2022,28.91,61.3,473.7,1.1,1
09/12/2022,26.67,72.0,464.8,0.2,0
09/12/2022,26.73,76.3,467.7,7.9,0
09/12/2022,27.39,68.3,479.7,10.6,0
09/12/2022,28.4,63.5,483.4,10.9,0
09/12/2022,28.32,62.1,495.8,11.5,0
09/12/2022,28.3,64.8,500.7,10.1,0
10/12/2022,28.54,65.6,500.7,13.6,0
10/12/2022,27.51,67.7,499.1,12.0,0
19/12/2022,1.0,2.0,3.0,4.0,0
09/01/2023,25.94,72.4,465.4,3.9,0
09/01/2023,1.0,2.0,3.0,4.0,0
10/01/2023,1.0,2.0,3.0,4.0,0
10/01/2023,1.0,2.0,3.0,4.0,0
10/01/2023,1.0,2.0,3.0,4.0,0
10/01/2023,0.0,0.0,0.0,0.0,0
10/01/2023,0.0,0.0,0.0,0.0,0
10/01/2023,0.0,0.0,0.0,0.0,1
10/01/2023,0.0,0.0,0.0,0.0,1
10/01/2023,0.0,0.0,0.0,0.0,1
10/01/2023,0.0,0.0,0.0,0.0,1
10/01/2023,0.0,0.0,0.0,0.0,1
10/01/2023,0.0,0.0,0.0,0.0,1
10/01/2023,0.0,0.0,0.0,0.0,1
10/01/2023,0.0,0.0,0.0,0.0,1
10/01/2023,0.0,0.0,0.0,0.0,1
10/01/2023,0.0,0.0,0.0,0.0,1
10/01/2023,0.0,0.0,0.0,0.0,0
10/01/2023,0.0,0.0,0.0,0.0,0
11/01/2023,0.0,0.0,0.0,0.0,1
11/01/2023,0.0,0.0,0.0,0.0,1
11/01/2023,0.0,0.0,-3.6897992e+19,0.0,1
11/01/2023,0.0,0.0,0.0,0.0,1
11/01/2023,0.0,0.0,0.0,0.0,1
11/01/2023,0.0,0.0,0.0,0.0,1
11/01/2023,0.0,0.0,0.0,0.0,0
11/01/2023,0.0,0.0,0.0,0.0,0
11/01/2023,0.0,0.0,0.0,0.0,0
11/01/2023,0.0,0.0,0.0,0.0,0
12/01/2023,0.0,0.0,0.0,0.0,0
15/01/2023,0.0,0.0,0.0,0.0,1
15/01/2023,0.0,0.0,0.0,0.0,1
15/01/2023,0.0,0.0,0.0,0.0,1
15/01/2023,0.0,0.0,0.0,0.0,0
16/01/2023,0.0,0.0,0.0,0.0,1
16/01/2023,0.0,0.0,0.0,0.0,1
16/01/2023,0.0,0.0,0.0,0.0,1
16/01/2023,0.0,0.0,0.0,0.0,1
16/01/2023,0.0,0.0,0.0,0.0,1
16/01/2023,0.0,0.0,0.0,0.0,1
16/01/2023,0.0,0.0,0.0,0.0,1
16/01/2023,0.0,0.0,0.0,0.0,0
16/01/2023,0.0,0.0,0.0,0.0,0
16/01/2023,0.0,0.0,0.0,0.0,0
17/01/2023,0.0,0.0,0.0,0.0,1
17/01/2023,0.0,0.0,0.0,0.0,1
17/01/2023,0.0,0.0,0.0,0.0,1
17/01/2023,0.0,0.0,0.0,0.0,0
17/01/2023,0.0,0.0,0.0,0.0,0
17/01/2023,0.0,0.0,0.0,0.0,0
17/01/2023,0.0,0.0,0.0,0.0,0
18/01/2023,0.0,0.0,0.0,0.0,0
18/01/2023,0.0,0.0,0.0,0.0,0
18/01/2023,0.0,0.0,0.0,0.0,0
18/01/2023,0.0,0.0,0.0,0.0,0
18/01/2023,0.0,0.0,0.0,0.0,1
18/01/2023,0.0,0.0,0.0,0.0,1
18/01/2023,0.0,0.0,0.0,0.0,1
18/01/2023,0.0,0.0,0.0,0.0,1
18/01/2023,0.0,0.0,0.0,0.0,0
19/01/2023,0.0,0.0,0.0,0.0,1
19/01/2023,0.0,0.0,0.0,0.0,1
19/01/2023,0.0,0.0,0.0,0.0,1
19/01/2023,0.0,-3.6911507e+19,0.0,0.0,1
